benchmark,probe-count,bl-wo-vcd,inst-wo-vcd,bl-with-vcd,inst-with-vcd,trace-reconstruction,petal-e2e,oh-vcd,oh-inst,oh-reconstruction
linear-algebra-2mm,306,0.059828218940000004,0.05960135958666668,0.07230387400666666,0.07863612627333336,0.16197515675333332,2.3766186817466664,1.21,1.32,2.71
linear-algebra-3mm,204,0.057577420413333344,0.05750089785333334,0.07535287202666667,0.07242008557333333,0.1784414321733333,2.1502139019333337,1.31,1.26,3.10
sandpile-original,320,0.07522605534666665,0.07419520314666668,0.11620062056000001,0.11454623193333331,0.6784684240333334,4.650681170586666,1.54,1.54,9.02
queues-original,304,1.3626096519666662,1.386826240426667,2.923666036440001,2.80205148542,12.957257075613331,17.72753490976667,2.15,2.02,9.51
ffnn-original,2830,23.255950638140003,23.349823600660002,71.47196313543999,69.06003724544001,14.863682427046664,169.83940639204005,3.07,2.96,0.64
