benchmark,probe-count,bl-wo-vcd,inst-wo-vcd,bl-with-vcd,inst-with-vcd,bl-with-fst,inst-with-fst,profiler-script,profiler-e2e
linear-algebra-2mm,306,0.06556692224,0.0723085835,0.08357358928,0.0841112996,0.09609681424000001,0.09684390350000002,1.8436618979000001,4.1430635234599995
linear-algebra-3mm,204,0.06401478958000001,0.05371764870000001,0.08472274174000001,0.08456340154,0.08997498114,0.09956504764000002,1.9676137302799996,3.99502552164
sandpile,320,0.10481842952,0.10303650358000001,0.14520361856000003,0.14629529164000002,0.18491156138000003,0.19305763444000001,7.7756763078999995,16.45546570186
strict_6flow_test,304,2.51267791222,2.4852880966800006,4.55408975026,4.607066805600001,5.64250609692,5.833423442780001,211.0119416097,219.0362573099
ffnn-par,,64.68429617977999,71.82995357569999,143.85741666214,157.92788209187998,144.92739037961996,159.56114379523999,453.3371607512199,704.44575379198
